Year,Month,counter_num,comments
2014,"October",9,"i/o ped spikes 17,20,23; missing data 2,3,6,8,10,15,21,30"
2014,"December",9,"i/o ped spikes over 200 5,12-16,20,21,24,25; no data 26-31"
2015,"January",9,"i/o ped spikes 2,9,12,21,31; missing data 4,7"
2015,"February",9,"ib ped spikes over 200 8,13,23,24"
2015,"March",9,"ib ped regularly over 250-1000 2-7; missing data 8,29"
2015,"April",9,"ib ped spikes over 100 4,20,23,24,30; missing data 14,15,19,26"
2015,"May",9,"ib ped frequently over 250, sometimes 500 or 1000 2,5,7-12,15-31"
2015,"June",9,"ib ped regularly over 250, sometimes 500 or 1000 1,6,8-19,21-30"
2012,"April",3,"ib ped spikes 14, 19, 25,26,28,29,30"
2010,"December",3,"ib bike steadily increasing with spikes 9-10; very low rest of month"
2013,"April",2,"ib ped spikes 205, 7-9, 12, 16, 19,20,22,24,25,26; ob ped spikes 20,27"
2014,"March",2,"ob ped spike over 150 2nd; ib ped spike over 50 21,24,27-29, 31; no data 9th, 30th"
2014,"April",2,"ib and some ob ped spikes over 50 1,3,5,10,11,21; over 100 22nd"
2014,"May",2,"ib ped frequent excursions over 200 23-31; also spikes 10,14,17"
2014,"October",2,"ib ped several increasing spikes over 50 7th; over 100 15,17,18,19,30th"
2014,"November",2,"ib ped spikes over 200 4,8,10,12; smaller i/o ped spikes 1,7,8,11,12,23,24"
2014,"December",2,"ob ped spike over 50 6th, multiple ib ped spikes 15th"
2015,"March",2,"ib ped spikes around 50 or higher 16-19, 23-26; i/o ped spikes over 75 21st; no data 8th,29th"
2015,"April",2,"ib ped sustained over 400 and spikes over 250 12, 17-22, 29-30"
2015,"August",2,"i/o ped over 200 4,5,8-9, 11-12, 22, 23-24, no data 19th"
2015,"May",2,"IB ped consistently over 300 1-11th, continuing odd through 18th, 30th"
2011,"September",1,"bike spikes 6-9th"
2012,"July",1,"big ob bike spike overnight 10-11th"
2013,"June",1,"some "normal days with high bike numbers (>200) 1-17th; 0 for 18-30th
2013,"July",1,"mostly 0 with some perfectly matching spikes over 100 for i/o bike"
2013,"November",1,"no data 1-9; peds over 300 11-15th, 19-20th, 23-26th, 29-30th, mostly overnight"
2013,"August",1,"all 0 until 26th, high (175) IB ped spike that afternoon"
2014,"July",1,"unusually low on 7/31"
2014,"September",1,"no data 1-7th, 17th; 5k nearby on 14th explains heavier ped traffic; higher ped before 17th, higher bike after"
2015,"February",1,"i/o ped spike to 75-125 20th then nothing 22-28"
2015,"May",1,"no data 1-27th"
2015,"June",1,"i/o ped around 100-200 10-14th, then 0, then no data after 23rd"
2015,"October",1,"inbound ped sustained >900, outbound high also 17th-20th"
2015,"November",1,"inbound ped sustained >900; outbound ped > 200-300 8th, 13-18th, 20-25th"
